Date,Open,High,Low,Close,Adj Close,Volume
2012-01-09,93.489998,95.110001,92.959999,94.690002,80.778770,5018200
2012-01-10,97.360001,99.480003,97.040001,98.330002,83.884026,7682700
2012-01-11,97.940002,100.620003,97.500000,99.760002,85.103920,7223000
2012-01-12,100.559998,101.449997,98.260002,101.209999,86.340912,6858700
2012-01-13,98.000000,99.430000,97.000000,98.959999,84.421440,7615800
2012-01-17,98.620003,101.839996,96.949997,97.680000,83.329491,8041500
2012-01-18,99.000000,105.830002,97.800003,104.309998,88.985451,17960300
2012-01-19,106.250000,108.300003,104.879997,107.680000,91.860374,11480900
2012-01-20,107.320000,109.430000,106.599998,108.739998,92.764648,8439700
2012-01-23,108.489998,110.900002,107.519997,108.190002,92.295433,7091800
2012-01-24,106.790001,109.099998,106.250000,108.870003,92.875542,4543900
2012-01-25,106.230003,108.949997,105.930000,108.269997,92.363678,7927600
2012-01-26,108.610001,110.300003,108.029999,108.559998,92.611069,6909600
2012-01-27,107.769997,112.199997,107.620003,111.769997,95.349487,8403600
2012-01-30,110.370003,110.419998,108.769997,109.730003,93.609192,6356900
2012-01-31,110.690002,112.500000,109.160004,111.470001,95.093536,8028400
2012-02-01,112.610001,116.650002,111.610001,113.449997,96.782669,11333000
2012-02-02,114.339996,115.410004,112.709999,113.389999,96.731514,6624200
2012-02-03,115.610001,117.570000,115.400002,117.529999,100.263260,7454500
2012-02-06,116.389999,117.599998,116.330002,117.389999,100.143837,3421900
2012-02-07,116.769997,116.980003,115.309998,115.980003,98.940994,5727300
2012-02-08,116.610001,117.040001,114.540001,116.150002,99.085999,4958200
2012-02-09,117.190002,117.389999,115.050003,115.879997,98.855659,4769800
2012-02-10,114.519997,115.660004,113.260002,114.120003,97.354240,5849400
2012-02-13,115.860001,116.070000,113.980003,114.529999,97.703979,3990000
2012-02-14,113.660004,113.849998,111.400002,112.870003,96.287888,4870300
2012-02-15,113.279999,115.250000,112.910004,113.169998,96.543793,6111800
2012-02-16,112.449997,114.980003,111.620003,114.739998,97.883125,6372400
2012-02-17,115.459999,116.650002,114.830002,115.910004,98.881256,5182300
2012-02-21,116.220001,117.910004,115.930000,116.629997,99.495483,5320400
2012-02-22,116.220001,117.139999,114.290001,114.360001,97.558968,4508500
2012-02-23,114.620003,115.820000,113.220001,115.800003,98.787437,5609600
2012-02-24,116.320000,116.970001,115.110001,115.870003,98.847130,4877500
2012-02-27,114.519997,116.650002,113.940002,116.230003,99.154274,4370200
2012-02-28,116.000000,118.660004,115.250000,117.110001,100.206711,6448200
2012-02-29,116.510002,118.129997,115.139999,115.139999,98.521057,6650700
2012-03-01,115.970001,121.239998,115.839996,121.129997,103.646477,10485800
2012-03-02,121.410004,122.180000,119.860001,119.959999,102.645363,7044100
2012-03-05,119.599998,119.949997,117.510002,118.629997,101.507332,5612700
2012-03-06,116.120003,116.239998,113.110001,113.669998,97.263245,8161100
2012-03-07,114.660004,116.730003,114.290001,116.400002,99.599197,5595000
2012-03-08,117.730003,118.680000,116.080002,117.169998,100.258057,4784100
2012-03-09,117.620003,118.489998,116.239998,117.290001,100.360748,5000600
2012-03-12,117.699997,117.870003,116.279999,116.989998,100.104042,4060000
2012-03-13,118.400002,124.849998,118.400002,124.540001,106.564278,11884700
2012-03-14,124.519997,124.870003,119.820000,120.370003,102.996147,14837200
2012-03-15,121.730003,123.550003,120.120003,123.059998,105.297928,7245600
2012-03-16,123.099998,123.500000,121.059998,122.930000,105.186676,7425700
2012-03-19,122.930000,126.000000,122.199997,124.300003,106.358940,8020700
2012-03-20,123.489998,127.860001,123.260002,126.019997,107.830681,8247000
2012-03-21,126.680000,127.510002,124.510002,125.989998,107.805000,4820500
2012-03-22,124.790001,125.570000,124.089996,124.739998,106.735420,5028400
2012-03-23,125.860001,126.800003,124.510002,126.180000,107.967583,5160600
2012-03-26,127.260002,128.210007,126.440002,128.070007,109.584801,4444000
2012-03-27,128.589996,128.720001,126.199997,126.330002,108.095940,5447000
2012-03-28,126.099998,127.239998,124.089996,126.360001,108.121620,5187900
2012-03-29,125.660004,126.599998,122.889999,123.760002,105.896873,5538800
2012-03-30,124.690002,125.470001,122.930000,124.370003,106.418823,4651400
2012-04-02,124.139999,125.540001,123.379997,124.900002,106.872337,4084700
2012-04-03,124.320000,124.430000,121.699997,122.709999,104.998428,5594800
2012-04-04,120.820000,121.629997,119.860001,119.959999,102.645363,5633800
2012-04-05,119.449997,120.589996,117.629997,118.000000,100.968254,6103700
2012-04-09,116.059998,117.989998,115.669998,117.019997,100.129715,4043300
2012-04-10,117.279999,118.220001,114.449997,114.559998,98.024773,5770400
2012-04-11,116.370003,117.019997,115.559998,115.930000,99.197021,4177500
2012-04-12,116.570000,120.410004,116.000000,120.389999,103.013306,5514600
2012-04-13,119.989998,120.089996,114.889999,115.089996,98.478256,6368200
2012-04-16,117.120003,118.410004,114.959999,117.730003,100.737221,7137600
2012-04-17,119.370003,119.769997,116.239998,116.860001,99.992783,12894400
2012-04-18,114.760002,116.790001,114.230003,115.330002,98.683632,6637400
2012-04-19,115.099998,115.480003,112.470001,113.599998,97.203323,9240300
2012-04-20,113.910004,114.169998,112.320000,112.440002,96.210762,5369600
2012-04-23,110.519997,111.940002,110.070000,111.750000,95.620338,7047600
2012-04-24,111.559998,114.250000,111.040001,114.110001,97.639740,4701900
2012-04-25,115.110001,115.110001,112.720001,113.980003,97.528511,5080600
2012-04-26,113.430000,115.550003,113.080002,114.559998,98.024773,4587600
2012-04-27,114.230003,114.989998,113.339996,114.410004,97.896454,4008400
2012-04-30,114.190002,115.300003,113.610001,115.150002,98.529617,4240300
2012-05-01,114.839996,116.480003,114.150002,115.330002,98.683632,4308600
2012-05-02,114.099998,114.470001,112.769997,113.769997,97.348785,3956400
2012-05-03,113.980003,114.279999,110.809998,111.529999,95.432106,4854800
2012-05-04,110.779999,110.900002,108.800003,108.989998,93.258728,5500100
2012-05-07,108.529999,110.860001,108.290001,110.040001,94.157166,3267400
2012-05-08,108.989998,110.190002,107.769997,109.370003,93.583893,4065900
2012-05-09,107.300003,108.639999,106.660004,107.290001,91.804092,4777100
2012-05-10,108.559998,109.360001,106.120003,106.320000,90.974113,4694200
2012-05-11,103.419998,103.790001,101.589996,102.129997,87.388901,10631800
2012-05-14,100.860001,101.070000,99.320000,99.769997,85.369507,10075600
2012-05-15,100.139999,101.769997,99.779999,99.870003,85.455063,5656700
2012-05-16,100.550003,102.139999,98.199997,98.199997,84.026123,5797200
2012-05-17,98.570000,99.940002,97.080002,97.080002,83.067772,6375200
2012-05-18,97.529999,97.900002,95.000000,95.489998,81.707275,7184700
2012-05-21,94.800003,97.550003,94.000000,96.510002,82.580055,5314700
2012-05-22,96.879997,99.949997,96.589996,97.529999,83.452812,5839700
2012-05-23,96.750000,98.510002,95.510002,98.040001,83.889229,5469700
2012-05-24,98.320000,98.500000,95.839996,96.860001,82.879547,5177300
2012-05-25,96.540001,97.779999,96.510002,96.699997,82.742615,3096000
2012-05-29,97.010002,97.879997,95.379997,97.860001,84.135437,4528000
2012-05-30,96.680000,96.900002,94.410004,94.610001,81.341232,5713200
